,population
22/7/1973,2201628
29/7/1973,2202283
5/8/1973,2202938
12/8/1973,2203593
19/8/1973,2204248
26/8/1973,2204903
2/9/1973,2205558
9/9/1973,2206213
16/9/1973,2206868
23/9/1973,2207523
30/9/1973,2208178
7/10/1973,2208833
14/10/1973,2209489
21/10/1973,2210144
28/10/1973,2210799
4/11/1973,2211454
11/11/1973,2212109
18/11/1973,2212764
25/11/1973,2213419
2/12/1973,2214074
9/12/1973,2214729
16/12/1973,2215384
23/12/1973,2216039
30/12/1973,2216694
6/1/1974,2217349
13/1/1974,2218004
20/1/1974,2218659
27/1/1974,2219314
3/2/1974,2219969
10/2/1974,2220624
17/2/1974,2221279
24/2/1974,2221934
3/3/1974,2222590
10/3/1974,2223245
17/3/1974,2223900
24/3/1974,2224555
31/3/1974,2225210
7/4/1974,2225865
14/4/1974,2226520
21/4/1974,2227175
28/4/1974,2227830
5/5/1974,2228485
